,nodes,gpus_per_node,model_time_sim,time_configure,time_create_neurons,time_create_devices,time_connect_neurons,time_connect_devices,time_create_nodes,time_area_packing,time_connect_local,time_network_local_tot,time_connect_global,time_calibrate,total_constr,time_presimulate,time_simulate,sim_factor
34,8,4,10.0,0.001079196875,0.0049534544375,0.00039556415625,7.51719723825,0.0064748820625,0.00534901859375,0.009523132437499804,7.5236721203125,7.53854427134375,57.0975208163125,0.88497914290625,65.5221234274375,10.84374797096875,136.40534727446874,13.640534727446873
35,8,4,10.0,0.015624511,0.00744237371875,0.00039716175,7.50421735821875,0.03199841784375,0.00783953546875,0.010414486874999795,7.5362157760625,7.55446979840625,57.13767979728125,0.8894093095625,65.59718341625,9.68497636303125,154.77128801084376,15.477128801084376
36,8,4,10.0,0.0118640704375,0.01314930165625,0.0003926589375,7.52477355678125,0.0768546048125,0.01354196059375,0.009744993156250104,7.60162816159375,7.62491511534375,57.164760856,0.88402445971875,65.6855645015,10.21675832653125,150.79869187625,15.079869187624999
37,8,4,10.0,0.00372404565625,0.008326707125,0.000394115625,7.47849593059375,0.03084143509375,0.008720822750000001,0.010135886406249739,7.5093373656875,7.52819407484375,57.03123997240625,0.88440408959375,65.4475621825,8.2674434720625,133.016715912625,13.3016715912625
38,8,4,10.0,0.00356432509375,0.02656202059375,0.0003958283125,7.50162906084375,0.0249490715625,0.026957848906249998,0.011012316875000039,7.52657813240625,7.5645482981875,57.12026431475,0.8858613471875,65.57423828521875,10.309711190625,158.6746080884375,15.86746080884375
39,8,4,10.0,0.00241875109375,0.0175511313125,0.00039283684375,7.4728898795,0.01517549615625,0.01794396815625,0.009941410656249872,7.48806537565625,7.51595075446875,57.015241817125,0.89152928071875,65.42514060340625,9.9228291931875,140.7352235375,14.073522353749999
40,16,2,10.0,0.001763046375,0.0139417268125,0.000393081125,7.40989612084375,0.02906276540625,0.0143348079375,0.009982309687500468,7.43895888625,7.463276003875,56.69572560459375,0.88474239446875,65.0455070493125,17.72521585634375,150.02924690996875,15.002924690996874
41,16,2,10.0,0.00256780703125,0.00592029475,0.00039384640625,7.41430015465625,0.0101655935625,0.00631414115625,0.010148606624999168,7.424465748218751,7.440928496,56.62211447496875,0.8811943136875,64.9468050916875,8.621101727875,146.765107344625,14.6765107344625
42,16,2,10.0,0.007716475,0.00699136003125,0.00039114284375,7.38858601990625,0.024782849125,0.007382502875,0.00965773803125014,7.41336886903125,7.4304091099375,56.62066293453125,0.8815176179375,64.94030613740625,14.76764495190625,136.8183209918125,13.68183209918125
43,16,2,10.0,0.00155252690625,0.00790763515625,0.000393837,7.37186163090625,0.0104870969375,0.00830147215625,0.009439711468749223,7.38234872784375,7.40008991146875,56.4843912335,0.88490121596875,64.77093488784375,10.91104711871875,154.51809822865624,15.451809822865624
44,16,2,10.0,0.00351718246875,0.00790477759375,0.00039221328125,7.41052099546875,0.0243953095625,0.008296990875,0.010668127781249481,7.43491630503125,7.4538814236875,56.61188630825,0.88282469796875,64.952109612375,10.90237466990625,136.72986479665624,13.672986479665624
45,16,2,10.0,0.02138675353125,0.008080873,0.00039323215625,7.39712229584375,0.06738084090625,0.00847410515625,0.00972389912500038,7.46450313675,7.48270114103125,56.49040665409375,0.886448706125,64.88094325478124,31.753896566,155.638555324625,15.563855532462501
46,16,2,10.0,0.003372599375,0.01782628325,0.00039353896875,7.38672724659375,0.02591614453125,0.01821982221875,0.00945489459375004,7.412643391125,7.4403181079375,56.50735802515625,0.88425804378125,64.83530677625,39.91359807825,151.32351086453124,15.132351086453124
47,16,2,10.0,0.00272455471875,0.00925796465625,0.00039383078125,7.38456112540625,0.05849804421875,0.0096517954375,0.01023783825000013,7.443059169625,7.4629488033125,56.43244569484375,0.8871515743125,64.7852706271875,12.3068388289375,133.56716670128125,13.356716670128126
48,16,2,10.0,0.00407733928125,0.0076826650625,0.00039223409375,7.3914458250625,0.01032079134375,0.00807489915625,0.010888941125000606,7.40176661640625,7.4207304566875,56.608577761875,0.88295882509375,64.9163443829375,10.71225616321875,158.92507944434374,15.892507944434374
49,16,2,10.0,0.0051392618125,0.005163791625,0.0003954341875,7.404921391875,0.00733373890625,0.0055592258125,0.01086802646875018,7.41225513078125,7.4286823830625,56.54806475896875,0.884019061125,64.86590546496875,9.56246065875,141.58205938353126,14.158205938353126
